feature,importance
owgr_points_current,0.103115514
prior_top10_rate_10,0.06802279
prior_avg_score,0.050597463
prior_avg_score_10,0.047911562
played_last_30d,0.041115925
tournaments_last_365d,0.039390966
owgr_rank_52w_ago,0.037243806
last_event_score,0.036878087
owgr_rank_4w_ago,0.03685274
last_event_rank,0.03612711
days_since_last_event,0.034961447
prior_std_score_5,0.03479302
prior_std_score_10,0.034405347
owgr_rank_change_4w,0.033883806
career_best_rank,0.033424698
prior_avg_score_5,0.033069473
owgr_rank_12w_ago,0.03287008
owgr_rank_change_52w,0.032356773
prior_count,0.032265652
owgr_rank_change_12w,0.03182486
season_to_date_avg_score,0.031443745
owgr_data_staleness_days,0.028650856
prior_std_score,0.028525213
course_history_avg_score,0.028412184
owgr_rank_current,0.025948232
prior_top10_rate_5,0.025908617
