name,model_prob,dk_odds,implied_prob_raw,market_prob_norm,edge_pct_points
Rory McIlroy,0.106807888744453,1325.0,0.07017543859649122,0.0781823602916979,2.862552845275511
Viktor Hovland,0.053436871672884,4300.0,0.022727272727272728,0.025320423503561253,2.811644816932275
Collin Morikawa,0.0486344860037217,2800.0,0.034482758620689655,0.038417194281265346,1.0217291722456354
Russell Henley,0.0443734808790243,2900.0,0.03333333333333333,0.0371366211385565,0.7236859740467796
Patrick Cantlay,0.0479256340817634,2600.0,0.037037037037037035,0.04126291237617389,0.6662721705589514
Ben Griffin,0.0234378237802431,3700.0,0.02631578947368421,0.02931838510938671,-0.5880561329143611
Harris English,0.0214566075003032,3700.0,0.02631578947368421,0.02931838510938671,-0.786177760908351
Tommy Fleetwood,0.0366057186448535,2200.0,0.043478260869565216,0.04843907105029109,-1.1833352405437592
Maverick McNealy,0.0138225702281192,4200.0,0.023255813953488372,0.025909270561783607,-1.2086700333664409
Min Woo Lee,0.0135517574828828,4000.0,0.024390243902439025,0.027173137418455978,-1.3621379935573177
Justin Rose,0.0104711266418843,3900.0,0.025,0.027852465853917378,-1.7381339212033078
Robert MacIntyre,0.0075584064153428,3800.0,0.02564102564102564,0.02856663164504346,-2.100822522970066
Sam Burns,0.0079619107487299,3600.0,0.02702702702702703,0.030110773896126895,-2.2148863147396995
Si Woo Kim,0.0071998254284599,3300.0,0.029411764705882353,0.03276760688696162,-2.556778145850172
Jake Knapp,0.0027337734648701,3700.0,0.02631578947368421,0.02931838510938671,-2.658461164451661
Cameron Young,0.009094772085854,3000.0,0.03225806451612903,0.03593866561795791,-2.684389353210391
Matt Fitzpatrick,0.0014378282721601,3600.0,0.02702702702702703,0.030110773896126895,-2.8672945623966797
Xander Schauffele,0.0202611405428444,2000.0,0.047619047619047616,0.05305231591222357,-3.279117536937917
Chris Gotterup,0.0029044987473093,3000.0,0.03225806451612903,0.03593866561795791,-3.3034166870648605
Hideki Matsuyama,0.0131401519947378,2250.0,0.0425531914893617,0.047408452517306174,-3.4268300522568373
Scottie Scheffler,0.0382498020011823,315.0,0.24096385542168675,0.26845750220643255,-23.020770020525024
Justin Thomas,0.0373942759166829,,,,
Kurt Kitayama,0.0291595315513965,,,,
Alex Noren,0.0254370942351087,,,,
Paul Casey,0.0177270579373067,,,,
Keegan Bradley,0.0134005799108717,,,,
Max Greyserman,0.0119139303069654,,,,
Niklas Norgaard,0.0115530979510557,,,,
Pierceson Coody,0.0108375861985881,,,,
Matt McCarty,0.0105702559483887,,,,
Victor Perez,0.0099607442556988,,,,
Shane Lowry,0.0095786885670201,,,,
Thriston Lawrence,0.0093488029301464,,,,
Sepp Straka,0.0093399679358665,,,,
Alex Smalley,0.0091804449598103,,,,
Matt Kuchar,0.0080914140003346,,,,
Nick Taylor,0.0080306817941614,,,,
Scott Stallings,0.00690304593437,,,,
Michael Thorbjornsen,0.0069027716079729,,,,
Jesper Svensson,0.0066572952333315,,,,
Max McGreevy,0.006130585854737,,,,
Christiaan Bezuidenhout,0.0060517319304172,,,,
Kevin Roy,0.0059488421647411,,,,
Beau Hossler,0.0059344099052625,,,,
Cameron Tringale,0.0057378257043547,,,,
Sungjae Im,0.0055076329332865,,,,
Steven Fisk,0.0054469756932057,,,,
Tom Hoge,0.0053945490981319,,,,
David Lipsky,0.0053777069817904,,,,
Ryo Hisatsune,0.0051800239995793,,,,
Chandler Phillips,0.0049993542247888,,,,
Takumi Kanaya,0.0049425376287263,,,,
Bryson DeChambeau,0.0045219242061183,,,,
Tyrrell Hatton,0.0043752943294683,,,,
Patrick Rodgers,0.0043740670958725,,,,
Will Zalatoris,0.0040660679472641,,,,
Adam Scott,0.0038618108417436,,,,
Denny McCarthy,0.0038070092315171,,,,
Keith Mitchell,0.0038025748620886,,,,
Ryan Gerard,0.0036924527569799,,,,
Emiliano Grillo,0.0036667020491564,,,,
Matt Wallace,0.0033539827452434,,,,
David Lingmerth,0.0033226091234937,,,,
Gaganjeet Bhullar,0.0033147044761656,,,,
Stephan Jaeger,0.0032334310484114,,,,
Matti Schmid,0.0029409993856243,,,,
William Mouw,0.0028705558690455,,,,
Mackenzie Hughes,0.0027485498967907,,,,
Jacob Bridgeman,0.0027048663176323,,,,
Andrew Novak,0.0026829856621216,,,,
Max Homa,0.0024505961061803,,,,
Jordan Smith,0.0024363395259259,,,,
Akshay Bhatia,0.002392246331582,,,,
Harold Varner III,0.0023779567346548,,,,
Eric Cole,0.0021824972285193,,,,
Michael Brennan,0.0021554618238624,,,,
Ian Poulter,0.0021006157843296,,,,
Brian Harman,0.00207568858288,,,,
Patrick Fishburn,0.0020510830884226,,,,
Sahith Theegala,0.0019459173905385,,,,
Patrick Reed,0.0019300603896842,,,,
Ryan Fox,0.0019054585505626,,,,
Tom Kim,0.0019019814621486,,,,
Bud Cauley,0.0018128937341464,,,,
Chris Kirk,0.0017805446484798,,,,
Gary Woodland,0.0017549934934496,,,,
Davis Thompson,0.0017312630379475,,,,
Justin Harding,0.0016975248589776,,,,
Daniel Berger,0.0016828524579206,,,,
Laurie Canter,0.0016582516902701,,,,
Jason Day,0.0016285963929571,,,,
Romain Langasque,0.001586580904678,,,,
Aldrich Potgieter,0.001541525875726,,,,
Thomas Pieters,0.001539406571266,,,,
Thomas Detry,0.0015130773514803,,,,
Taylor Pendrith,0.0013967320477241,,,,
Kensei Hirata,0.0013305552610548,,,,
Jordan Spieth,0.00129736245385,,,,
Lucas Bjerregaard,0.0012690884407991,,,,
Garrick Higgo,0.0012548860984677,,,,
Kristoffer Reitan,0.0012454243190233,,,,
Charley Hoffman,0.0011999088691323,,,,
Matt Jones,0.001145386620162,,,,
Byeong Hun An,0.0011112212995584,,,,
Davis Riley,0.001105485485226,,,,
Adrian Meronk,0.0011012342672282,,,,
Erik van Rooyen,0.0010542905341048,,,,
Tony Finau,0.0010269545223499,,,,
Harry Hall,0.0010084217933508,,,,
Karl Vilips,0.0009528960553079,,,,
Mike Lorenzo-Vera,0.000937104594735,,,,
Chris Paisley,0.0008980866978766,,,,
Grayson Murray,0.0008437052656911,,,,
Jorge Campillo,0.0008336174100988,,,,
Michael Kim,0.0008135426020772,,,,
Haotong Li,0.0008002491531042,,,,
Nick Dunlap,0.0007620491286553,,,,
Adam Schenk,0.0007347022601389,,,,
John Parry,0.0006962080506179,,,,
Bio Kim,0.0006856137617544,,,,
Paul Dunne,0.0006511922955547,,,,
Wyndham Clark,0.0006510353078903,,,,
Aaron Rai,0.000610261362861,,,,
Yusaku Miyazato,0.0005742897348503,,,,
Tomoharu Otsuki,0.0005496279096361,,,,
Mark Hubbard,0.00053667121226,,,,
Austin Eckroat,0.0005321639422031,,,,
Joe Highsmith,0.0005286767722757,,,,
Keita Nakajima,0.0005260019316443,,,,
Hudson Swafford,0.0004987715528332,,,,
Corey Conners,0.0004975972127531,,,,
Anirban Lahiri,0.0004946560171171,,,,
Matthew Wolff,0.0004865804996302,,,,
Eugenio Chacarra,0.0004823364613546,,,,
Rickie Fowler,0.0004793477538411,,,,
Jon Rahm,0.0004647567885716,,,,
Lucas Glover,0.000461776993821,,,,
Kevin Na,0.0004463577515355,,,,
Shaun Norris,0.0004066181588818,,,,
George Coetzee,0.0004007873700877,,,,
Brian Campbell,0.0003237144751356,,,,
Neal Shipley,0.0002994576065593,,,,
Martin Couvra,0.0002836936367631,,,,
Yuta Ikeda,0.0002748542300734,,,,
Kazuki Higa,0.0002497493639548,,,,
Adrien Saddier,0.0002338682937132,,,,
Carlos Ortiz,0.0002304334652978,,,,
Benjamin Hebert,0.0002285723282754,,,,
Brendan Steele,0.0002195981206082,,,,
Jhonattan Vegas,0.0002016157165431,,,,
Brendan Jones,0.0001793663150536,,,,
Billy Horschel,0.0001688592974503,,,,
David Puig,0.000161190638278,,,,
Tom McKibbin,0.0001068513210294,,,,
Brad Kennedy,9.381544225600086e-05,,,,
Marco Penge,8.060521026102465e-05,,,,
